ID,VALUE
0x0,763
0x1,423
0x2,501
0x3,337
0x4,276
0x5,529
0x6,882
0x7,594
0x8,411
0x9,807
0xa,892
0xb,609
0xc,643
0xd,434
0xe,559
0xf,397
0x10,692
0x11,132
0x12,614
0x13,411
0x14,107
0x15,165
0x16,936
0x17,479
0x18,183
0x19,170
0x1a,739
0x1b,177
0x1c,321
0x1d,964
0x1e,923
0x1f,181
0x20,562
0x21,14
0x22,220
0x23,140
0x24,911
0x25,319
0x26,9
0x27,804
0x28,354
0x29,739
0x2a,144
0x2b,493
0x2c,452
0x2d,146
0x2e,276
0x2f,638
0x30,325
0x31,440
0x32,804
0x33,574
0x34,808
0x35,251
0x36,435
0x37,974
0x38,492
0x39,77
0x3a,435
0x3b,394
0x3c,563
0x3d,815
0x3e,322
0x3f,47
0x40,611
0x41,558
0x42,974
0x43,439
0x44,25
0x45,849
0x46,201
0x47,579
0x48,958
0x49,687
0x4a,489
0x4b,631
0x4c,515
0x4d,11
0x4e,382
0x4f,708
0x50,139
0x51,750
0x52,446
0x53,453
0x54,519
0x55,724
0x56,534
0x57,854
0x58,485
0x59,9
0x5a,614
0x5b,345
0x5c,530
0x5d,740
0x5e,272
0x5f,890
0x60,649
0x61,421
0x62,862
0x63,171
0x64,26
0x65,496
0x66,582
0x67,972
0x68,71
0x69,598
0x6a,517
0x6b,424
0x6c,281
0x6d,182
0x6e,371
0x6f,673
0x70,475
0x71,308
0x72,927
0x73,695
0x74,971
0x75,608
0x76,667
0x77,412
0x78,367
0x79,675
0x7a,125
0x7b,689
0x7c,445
0x7d,368
0x7e,202
0x7f,280
0x80,613
0x81,160
0x82,795
0x83,335
0x84,732
0x85,101
0x86,271
0x87,940
0x88,168
0x89,498
0x8a,751
0x8b,647
0x8c,162
0x8d,883
0x8e,311
0x8f,558
0x90,369
0x91,261
0x92,351
0x93,828
0x94,83
0x95,89
0x96,433
0x97,56
0x98,20
0x99,897
0x9a,527
0x9b,579
0x9c,932
0x9d,112
0x9e,153
0x9f,400
0xa0,275
0xa1,348
0xa2,68
0xa3,227
0xa4,730
0xa5,638
0xa6,490
0xa7,534
0xa8,274
0xa9,121
0xaa,830
0xab,767
0xac,353
0xad,694
0xae,795
0xaf,286
0xb0,502
0xb1,674
0xb2,127
0xb3,342
0xb4,685
0xb5,792
0xb6,290
0xb7,55
0xb8,954
0xb9,356
0xba,835
0xbb,398
0xbc,744
0xbd,409
0xbe,24
0xbf,997
0xc0,464
0xc1,512
0xc2,738
0xc3,50
0xc4,21
0xc5,559
0xc6,359
0xc7,338
0xc8,59
0xc9,533
0xca,865
0xcb,140
0xcc,674
0xcd,805
0xce,71
0xcf,162
0xd0,933
0xd1,564
0xd2,600
0xd3,960
0xd4,294
0xd5,819
0xd6,69
0xd7,812
0xd8,225
0xd9,531
0xda,876
0xdb,780
0xdc,859
0xdd,688
0xde,769
0xdf,71
0xe0,73
0xe1,618
0xe2,625
0xe3,896
0xe4,672
0xe5,82
0xe6,748
0xe7,81
0xe8,800
0xe9,941
0xea,48
0xeb,685
0xec,109
0xed,652
0xee,748
0xef,837
0xf0,166
0xf1,260
0xf2,131
0xf3,331
0xf4,965
0xf5,915
0xf6,809
0xf7,851
0xf8,505
0xf9,471
0xfa,47
0xfb,265
0xfc,383
0xfd,410
0xfe,514
0xff,960
0x100,15
0x101,71
0x102,898
0x103,88
0x104,309
0x105,404
0x106,972
0x107,893
0x108,663
0x109,916
0x10a,746
0x10b,841
0x10c,37
0x10d,824
0x10e,245
0x10f,849
0x110,745
0x111,253
